Date,Open,High,Low,Close,Adj Close,Volume
2015-02-27,253.47,253.47,258.72,235.7,236.53,42282820.0
2015-02-28,254.06,254.06,255.4,248.73,253.47,9999594.0
2015-03-01,257.94,257.94,260.65,244.77,254.06,12964061.0
2015-03-02,273.75,273.75,274.8,256.15,257.94,21562624.0
2015-03-03,280.65,280.65,287.06,266.12,273.75,45650597.0
2015-03-04,271.92,271.92,284.47,265.91,280.65,38656923.0
2015-03-05,275.23,275.23,280.84,262.81,271.92,33599454.0
2015-03-06,272.56,272.56,277.99,269.02,275.23,27014943.0
2015-03-07,274.91,274.91,278.25,269.41,272.56,16708000.0
2015-03-08,274.49,274.49,278.78,271.31,274.91,13902830.0
2015-03-09,290.02,290.02,293.26,273.79,274.49,43259194.0
2015-03-10,291.37,291.37,300.96,288.12,290.02,46657647.0
2015-03-11,295.6,295.6,297.66,288.88,291.37,23542829.0
2015-03-12,293.85,293.85,296.98,290.83,295.6,31607747.0
2015-03-13,287.21,287.21,294.92,286.08,293.85,28288614.0
2015-03-14,281.6,281.6,288.4,279.3,287.21,21495879.0
2015-03-15,284.88,284.88,286.39,280.37,281.6,11238833.0
2015-03-16,290.41,290.41,294.01,284.77,284.88,19355605.0
2015-03-17,285.38,285.38,292.46,283.25,290.41,18775700.0
2015-03-18,255.92,255.92,285.65,248.19,285.38,55391241.0
2015-03-19,260.93,260.93,264.8,247.0,255.92,46525086.0
2015-03-20,261.78,261.78,264.71,257.85,260.93,13853175.0
2015-03-21,259.71,259.71,263.26,254.02,261.78,13413360.0
2015-03-22,268.57,268.57,270.42,259.0,259.71,14980752.0
2015-03-23,265.46,265.46,271.01,259.38,268.57,21749937.0
2015-03-24,246.72,246.72,267.02,242.67,265.46,38033136.0
2015-03-25,246.37,246.37,249.21,234.84,246.72,32092197.0
2015-03-26,248.02,248.02,254.69,243.52,246.37,22412560.0
2015-03-27,247.21,247.21,250.05,244.47,248.02,15543779.0
2015-03-28,252.02,252.02,254.25,246.28,247.21,13890988.0
2015-03-29,242.08,242.08,252.81,238.93,252.02,18971340.0
2015-03-30,246.79,246.79,248.83,236.55,242.08,20963830.0
2015-03-31,244.15,244.15,248.7,241.18,246.79,18515676.0
2015-04-01,246.24,246.24,247.67,239.57,244.15,16412525.0
2015-04-02,252.6,252.6,254.85,244.25,246.24,20354036.0
2015-04-03,254.48,254.48,256.53,251.26,252.6,18264452.0
2015-04-04,252.89,252.89,255.24,250.31,254.48,7805160.0
2015-04-05,259.64,259.64,260.26,250.6,252.89,11277271.0
2015-04-06,254.97,254.97,261.45,252.32,259.64,11857398.0
2015-04-07,252.97,252.97,255.6,250.15,254.97,11401051.0
2015-04-08,244.57,244.57,254.26,242.57,252.97,25401433.0
2015-04-09,243.32,243.32,246.22,237.62,244.57,16846896.0
2015-04-10,234.73,234.73,244.11,231.3,243.32,23728422.0
2015-04-11,236.48,236.48,240.0,233.12,234.73,12319489.0
2015-04-12,235.85,235.85,237.52,232.27,236.48,7814533.0
2015-04-13,223.59,223.59,236.75,220.36,235.85,23982950.0
2015-04-14,217.99,217.99,224.72,214.27,223.59,25315606.0
2015-04-15,222.97,222.97,223.56,217.15,217.99,17099352.0
2015-04-16,227.98,227.98,229.53,222.87,222.97,19315044.0
2015-04-17,222.59,222.59,229.28,220.56,227.98,15015559.0
2015-04-18,223.35,223.35,224.47,220.57,222.59,8152434.0
2015-04-19,223.02,223.02,226.94,221.96,223.35,7984589.0
2015-04-20,224.24,224.24,226.72,221.58,223.02,10082693.0
2015-04-21,233.73,233.73,235.27,223.29,224.24,15658818.0
2015-04-22,233.78,233.78,238.4,231.8,233.73,18280060.0
2015-04-23,235.4,235.4,236.12,232.58,233.78,9982620.0
2015-04-24,231.09,231.09,236.55,229.06,235.4,16221169.0
2015-04-25,226.14,226.14,232.29,223.05,231.09,10015666.0
2015-04-26,218.7,218.7,226.72,214.14,226.14,22088733.0
2015-04-27,228.96,228.96,242.65,216.6,218.7,27696437.0
2015-04-28,225.81,225.81,229.87,222.03,228.96,14896418.0
2015-04-29,225.42,225.42,227.24,222.25,225.81,13743340.0
2015-04-30,235.77,235.77,240.01,224.68,225.42,26242196.0
2015-05-01,233.21,233.21,239.42,232.38,235.77,14178420.0
2015-05-02,235.34,235.34,236.38,231.73,233.21,8703582.0
2015-05-03,239.99,239.99,243.58,233.8,235.34,13389153.0
2015-05-04,238.97,238.97,243.2,237.45,239.99,16599243.0
2015-05-05,235.82,235.82,239.61,231.78,238.97,18333196.0
2015-05-06,230.03,230.03,237.15,228.24,235.82,24127653.0
2015-05-07,237.73,237.73,240.25,228.33,230.03,21315971.0
2015-05-08,243.74,243.74,247.01,235.77,237.73,21226000.0
2015-05-09,241.4,241.4,247.87,238.52,243.74,15281109.0
2015-05-10,239.96,239.96,244.82,238.23,241.4,10634289.0
2015-05-11,241.81,241.81,243.95,238.86,239.96,13819530.0
2015-05-12,241.58,241.58,243.0,239.18,241.81,9712214.0
2015-05-13,236.38,236.38,243.91,234.07,241.58,20329395.0
2015-05-14,236.9,236.9,239.17,232.36,236.38,16833656.0
2015-05-15,237.2,237.2,238.83,235.53,236.9,10932777.0
2015-05-16,236.23,236.23,237.78,234.57,237.2,6415070.0
2015-05-17,236.3,236.3,237.77,235.35,236.23,6738302.0
2015-05-18,232.64,232.64,237.1,231.46,236.3,12516261.0
2015-05-19,232.02,232.02,234.5,231.27,232.64,9550029.0
2015-05-20,233.96,233.96,235.17,231.47,232.02,11626735.0
2015-05-21,235.38,235.38,236.65,233.61,233.96,10114419.0
2015-05-22,240.37,240.37,242.0,234.56,235.38,17630641.0
2015-05-23,238.94,238.94,241.73,238.05,240.37,8659651.0
2015-05-24,240.98,240.98,242.39,237.48,238.94,7278251.0
2015-05-25,237.41,237.41,241.79,235.81,240.98,6301300.0
2015-05-26,237.84,237.84,238.99,235.58,237.41,8842430.0
2015-05-27,237.29,237.29,238.95,235.89,237.84,11445501.0
2015-05-28,237.32,237.32,238.41,236.23,237.29,8508673.0
2015-05-29,237.03,237.03,237.89,235.13,237.32,9241377.0
2015-05-30,233.22,233.22,237.06,231.59,237.03,9738568.0
2015-05-31,229.84,229.84,233.99,229.13,233.22,9036624.0
2015-06-01,223.14,223.14,231.76,220.97,229.84,19658919.0
2015-06-02,225.74,225.74,227.44,222.25,223.14,13666049.0
2015-06-03,225.59,225.59,227.86,223.69,225.74,12279838.0
2015-06-04,224.22,224.22,226.71,223.49,225.59,9934190.0
